month,net,gross,cost
2021-10-31,0.00967126,0.01019089,0.00051963
2021-11-30,0.00362988,0.00406967,0.00043978
2021-12-31,0.02960638,0.030147,0.00054062
2022-01-31,-0.01619312,-0.015572,0.00062112
2022-02-28,-0.09788636,-0.09756833,0.00031803
2022-03-31,-0.04760358,-0.04668056,0.00092302
2022-04-30,-0.11375127,-0.11276833,0.00098293
2022-05-31,-0.03836067,-0.03765056,0.00071011
2022-06-30,0.12898041,0.12976611,0.00078571
2022-07-31,0.08735288,0.08763722,0.00028434
2022-08-31,0.06084042,0.06096444,0.00012403
2022-09-30,-0.02192106,-0.02136556,0.0005555
2022-10-31,0.0075364,0.00800611,0.00046971
2022-11-30,0.02225187,0.02248611,0.00023425
2022-12-31,0.03881777,0.03909778,0.00028001
2023-01-31,0.05661319,0.05678056,0.00016737
2023-02-28,0.10749161,0.10767833,0.00018672
2023-03-31,0.01686439,0.01718667,0.00032228
2023-04-30,0.00362559,0.00413389,0.0005083
2023-05-31,0.07074026,0.07123389,0.00049363
2023-06-30,0.01760908,0.01806456,0.00045547
2023-07-31,-0.03444778,-0.03390956,0.00053822
2023-08-31,-0.01113208,-0.01037322,0.00075885
2023-09-30,0.02582852,0.02621278,0.00038426
2023-10-31,0.03202896,0.03261056,0.00058159
2023-11-30,-0.05710697,-0.05635344,0.00075352
2023-12-31,-0.00996106,-0.00954389,0.00041717
2024-01-31,-0.01359877,-0.01306967,0.00052911
2024-02-29,0.02788349,0.02833211,0.00044862
2024-03-31,0.01844199,0.01883433,0.00039234
2024-04-30,0.09401621,0.09456333,0.00054712
2024-05-31,0.04860838,0.048958,0.00034962
2024-06-30,-0.05076906,-0.05015233,0.00061672
2024-07-31,0.04482669,0.04544967,0.00062298
2024-08-31,0.03551756,0.03590844,0.00039089
2024-09-30,0.04187682,0.04226244,0.00038563
2024-10-31,0.03345632,0.03408378,0.00062746
2024-11-30,-0.0329038,-0.03258822,0.00031557
2024-12-31,-0.03227604,-0.03167433,0.0006017
2025-01-31,0.02965746,0.03006878,0.00041132
2025-02-28,0.0051727,0.00560911,0.00043642
2025-03-31,0.0932582,0.09369967,0.00044146
2025-04-30,0.04595529,0.04646367,0.00050838
2025-05-31,0.02737672,0.02779233,0.00041561
2025-06-30,0.04376773,0.04438,0.00061227
2025-07-31,0.03429499,0.03525589,0.0009609
2025-08-31,0.06445954,0.065085,0.00062546
2025-09-30,0.11338197,0.11430778,0.0009258
2025-10-31,-0.08654797,-0.085783,0.00076497
2025-11-30,0.00709148,0.00745056,0.00035907
2025-12-31,0.13583639,0.136265,0.00042861
2026-01-31,0.04406439,0.04448889,0.0004245
2026-02-28,-0.03189278,-0.031346,0.00054678
2026-03-31,-0.16176073,-0.16125389,0.00050684
2026-04-30,0.0273215,0.02815322,0.00083172
2026-05-31,-0.0147717,-0.01430167,0.00047003
2026-06-30,0.05879962,0.05928333,0.00048372
2026-07-31,-0.04170423,-0.04129278,0.00041145
2026-08-31,0.01119266,0.01142889,0.00023623
